56.276: [GC [PSYoungGen: 295955K->4983K(311232K)] 537887K->257859K(660800K), 0.0359100 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
57.760: [GC [PSYoungGen: 280695K->3994K(310016K)] 533571K->260267K(659584K), 0.0154750 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
58.692: [GC [PSYoungGen: 284762K->4326K(312064K)] 541035K->261786K(661632K), 0.0146100 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
60.350: [GC [PSYoungGen: 285094K->6542K(313728K)] 542554K->265568K(663296K), 0.0284000 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
62.877: [GC [PSYoungGen: 295374K->15695K(316032K)] 554400K->280043K(665600K), 0.0312310 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
63.867: [GC [PSYoungGen: 304527K->696K(321408K)] 568875K->280634K(670976K), 0.0258610 secs] [Times: user=0.07 sys=0.01, real=0.03 secs] 
68.244: [GC [PSYoungGen: 294264K->4536K(298112K)] 574202K->284942K(647680K), 0.0268850 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
69.141: [GC [PSYoungGen: 298104K->3298K(321408K)] 578510K->287130K(670976K), 0.0191170 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
72.266: [GC [PSYoungGen: 298786K->7075K(320064K)] 582618K->292195K(669632K), 0.0223530 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
75.047: [GC [PSYoungGen: 302563K->7337K(323392K)] 587683K->297229K(672960K), 0.0304830 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
78.625: [GC [PSYoungGen: 307689K->3802K(322048K)] 597581K->297583K(671616K), 0.0264600 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
80.989: [GC [PSYoungGen: 304154K->2090K(326144K)] 597935K->298584K(675712K), 0.0194100 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
85.258: [GC [PSYoungGen: 307562K->1406K(296256K)] 604056K->299147K(645824K), 0.0215090 secs] [Times: user=0.07 sys=0.01, real=0.03 secs] 
86.783: [GC [PSYoungGen: 296254K->1042K(292544K)] 593995K->299709K(642112K), 0.0132260 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
92.740: [GC [PSYoungGen: 285714K->640K(275584K)] 584381K->299667K(625152K), 0.0124960 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
98.691: [GC [PSYoungGen: 275584K->592K(269824K)] 574611K->299691K(619392K), 0.0138350 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
104.477: [GC [PSYoungGen: 266256K->1665K(258560K)] 565355K->300776K(608128K), 0.0139920 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
110.334: [GC [PSYoungGen: 258497K->576K(248960K)] 557608K->300164K(598528K), 0.0160150 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
116.119: [GC [PSYoungGen: 248960K->704K(256064K)] 548548K->300296K(605632K), 0.0207650 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
121.911: [GC [PSYoungGen: 240960K->592K(233152K)] 540552K->300300K(582720K), 0.0156380 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
127.669: [GC [PSYoungGen: 233104K->592K(239424K)] 532812K->300312K(588992K), 0.0111960 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
133.352: [GC [PSYoungGen: 225680K->592K(218624K)] 525400K->300316K(568192K), 0.0141630 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
139.030: [GC [PSYoungGen: 218576K->520K(224128K)] 518300K->300505K(573696K), 0.0122320 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
144.629: [GC [PSYoungGen: 211720K->768K(205504K)] 511705K->300858K(555072K), 0.0131140 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
145.354: [GC [PSYoungGen: 205504K->336K(198912K)] 505594K->300854K(548480K), 0.0240810 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
150.474: [GC [PSYoungGen: 198864K->543K(193152K)] 499382K->301366K(542720K), 0.0202090 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
151.128: [GC [PSYoungGen: 193119K->749K(218560K)] 493942K->301936K(568128K), 0.0118580 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
152.136: [GC [PSYoungGen: 209005K->1825K(241408K)] 510192K->303656K(590976K), 0.0135150 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
152.604: [GC [PSYoungGen: 233633K->1199K(240704K)] 535464K->304610K(590272K), 0.0122530 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
153.012: [GC [PSYoungGen: 233007K->654K(285568K)] 536418K->304872K(635136K), 0.0129730 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
156.195: [GC [PSYoungGen: 278862K->1449K(286016K)] 583080K->305872K(635584K), 0.0245310 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
162.137: [GC [PSYoungGen: 279657K->576K(340288K)] 584080K->306172K(689856K), 0.0179650 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
168.313: [GC [PSYoungGen: 334464K->592K(340672K)] 640060K->306196K(690240K), 0.0113990 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
174.433: [GC [PSYoungGen: 334480K->592K(322560K)] 640084K->306204K(672128K), 0.0114240 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
185.413: [GC [PSYoungGen: 322512K->624K(311168K)] 628124K->306248K(660736K), 0.0115010 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
191.485: [GC [PSYoungGen: 311152K->608K(300288K)] 616776K->306236K(649856K), 0.0114750 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
197.490: [GC [PSYoungGen: 300256K->672K(289984K)] 605884K->306312K(639552K), 0.0117950 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
203.423: [GC [PSYoungGen: 289952K->744K(280128K)] 595592K->306472K(629696K), 0.0157330 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
209.354: [GC [PSYoungGen: 280104K->592K(270528K)] 585832K->306445K(620096K), 0.0255130 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
215.276: [GC [PSYoungGen: 270480K->608K(261504K)] 576333K->306477K(611072K), 0.0122610 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
221.140: [GC [PSYoungGen: 261472K->592K(252864K)] 567341K->306465K(602432K), 0.0213400 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
226.985: [GC [PSYoungGen: 252816K->656K(244672K)] 558689K->306533K(594240K), 0.0182220 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
232.783: [GC [PSYoungGen: 244624K->560K(236672K)] 550501K->306561K(586240K), 0.0113670 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
238.557: [GC [PSYoungGen: 236656K->592K(229184K)] 542657K->306597K(578752K), 0.0130430 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
244.307: [GC [PSYoungGen: 229136K->592K(221952K)] 535141K->306601K(571520K), 0.0114210 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
250.035: [GC [PSYoungGen: 221904K->592K(215040K)] 527913K->306609K(564608K), 0.0111120 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
255.748: [GC [PSYoungGen: 214992K->656K(208512K)] 521009K->306685K(558080K), 0.0109400 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
261.415: [GC [PSYoungGen: 208464K->352K(201856K)] 514493K->306701K(551424K), 0.0182040 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
264.896: [GC [PSYoungGen: 201824K->778K(196224K)] 508173K->307384K(545792K), 0.0230460 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
267.520: [GC [PSYoungGen: 196170K->829K(190400K)] 502776K->307685K(539968K), 0.0124830 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
273.106: [GC [PSYoungGen: 190397K->368K(184384K)] 497253K->307749K(533952K), 0.0116830 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
278.681: [GC [PSYoungGen: 184368K->592K(179328K)] 491749K->307981K(528896K), 0.0116120 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
279.340: [GC [PSYoungGen: 179280K->272K(173888K)] 486669K->307977K(523456K), 0.0187220 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
284.908: [GC [PSYoungGen: 173840K->688K(305728K)] 481545K->308393K(655296K), 0.0117960 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
290.946: [GC [PSYoungGen: 305712K->608K(295040K)] 613417K->308401K(644608K), 0.0113730 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
